Ref,Qty,Value,Footprint,Manufacturer,MPN,Distributor,DistributorPN,Package,Description,DNP,Notes
C2214,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2215,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2216,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2217,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2218,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2219,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2220,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2221,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2222,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2223,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2224,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2225,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2226,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2227,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2228,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2229,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2230,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2231,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2232,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2233,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2234,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2235,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2236,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2237,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2238,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2239,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2240,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2241,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2242,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2243,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2244,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2245,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2246,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2247,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2248,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2249,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2250,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2251,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2252,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2253,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2254,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2255,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2256,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2257,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2258,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2259,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2260,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2261,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2262,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2263,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2264,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2265,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2266,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2267,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2268,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2269,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2270,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2271,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2272,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2273,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2274,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2275,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2276,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2277,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2278,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2279,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2280,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2281,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2282,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2283,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2284,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2285,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2286,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2287,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2288,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2289,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2290,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2291,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2292,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2293,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2294,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2295,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2296,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2297,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2298,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2299,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2300,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2301,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2302,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2303,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2304,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2305,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2306,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2307,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2308,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2309,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2310,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2311,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2312,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2313,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2314,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2315,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2316,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2317,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2318,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2319,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2320,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2321,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2322,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2323,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2324,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2325,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2326,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2327,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2328,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2329,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2330,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2331,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2332,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2333,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2334,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2335,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2336,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2337,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2338,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2339,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2340,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2341,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2342,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2343,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2344,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2345,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2346,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2347,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2348,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2349,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2350,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2351,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2352,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
C2353,1,1uF 10V X7R 0402,Capacitor_SMD:C_0402_1005Metric,Murata,GRM155R71A105KE01D,Digi-Key,490-3262-1-ND,0402,Tier-3 1uF plane-distributed decoupling,,
